"English","PartOfSpeech","Meaning","Example","Date"
"radical","adj.","极端的，激进的","","2026-01-04T11:01:19.670Z"
"rail","v.","抨击, 批评","","2026-01-04T11:01:19.670Z"
"raillery","n.","打趣","","2026-01-04T11:01:19.670Z"
"rambling","adj.","跑题的, 冗长的","","2026-01-04T11:01:19.670Z"
"ramification","n.","结果, 后果","","2026-01-04T11:01:19.670Z"
"ramify","v.","使分叉","","2026-01-04T11:01:19.670Z"
"rampant","adj.","广泛的","","2026-01-04T11:01:19.670Z"
"ramshackle","adj.","摇摇欲坠的","","2026-01-04T11:01:19.670Z"
"rancor","n.","憎恨","","2026-01-04T11:01:19.670Z"
"rankle","v.","使...生气, 愤怒","","2026-01-04T11:01:19.670Z"
"rant","v.","辱骂","","2026-01-04T11:01:19.670Z"
"rapacious","adj.","贪婪的","","2026-01-04T11:01:19.670Z"
"rapprochement","n.","友好, 和谐","","2026-01-04T11:01:19.670Z"
"rationale","n.","理由","","2026-01-04T11:01:19.670Z"
"rattle","v.","扰乱","","2026-01-04T11:01:19.670Z"
"realm","n.","领域","","2026-01-04T11:01:19.670Z"
"rebellious","adj.","反抗的, 难控制的","","2026-01-04T11:01:19.670Z"
"rebound","v.","从挫败中恢复","","2026-01-04T11:01:19.670Z"
"rebuff","n.","（粗鲁的）回复","","2026-01-04T11:01:19.670Z"
"rebuke","v.","指责, 非难","","2026-01-04T11:01:19.670Z"
"rebut","v.","驳斥","","2026-01-04T11:01:19.670Z"
"recalcitrant","adj.","顽固的","","2026-01-04T11:01:19.670Z"
"recant","v.","（公开正式的）否认","","2026-01-04T11:01:19.670Z"
"recapitulate","v.","总结","","2026-01-04T11:01:19.670Z"
"recipe","n.","秘诀, 方法","","2026-01-04T11:01:19.670Z"
"reckless","adj.","粗心的, 鲁莽的","","2026-01-04T11:01:19.670Z"
"recoil","v.","畏缩","","2026-01-04T11:01:19.670Z"
"recollect","v.","记忆","","2026-01-04T11:01:19.670Z"
"reconcile","v.","调和","","2026-01-04T11:01:19.670Z"
"recondite","adj.","难懂的","","2026-01-04T11:01:19.670Z"
"recrudesce","v.","复发","","2026-01-04T11:01:19.670Z"
"recrudescent","adj.","复发的","","2026-01-04T11:01:19.670Z"
"recruit","v.","招募","","2026-01-04T11:01:19.670Z"
"rectitude","n.","正直","","2026-01-04T11:01:19.670Z"
"recuse","v.","取消资格","","2026-01-04T11:01:19.670Z"
"redeem","v.","赎罪","","2026-01-04T11:01:19.670Z"
"redolent","adj.","芬芳的","","2026-01-04T11:01:19.670Z"
"redoubtable","adj.","令人肃然起敬的","","2026-01-04T11:01:19.670Z"
"redundant","adj.","重复的, 冗余的, 赘述的","","2026-01-04T11:01:19.670Z"
"refine","v.","提纯","","2026-01-04T11:01:19.670Z"
"reflective","adj.","反思的, 沉思的","","2026-01-04T11:01:19.670Z"
"refractory","adj.","不服管的，难处理的","","2026-01-04T11:01:19.670Z"
"refuge","n.","避难所","","2026-01-04T11:01:19.670Z"
"refute","v.","驳倒, 否认","","2026-01-04T11:01:19.670Z"
"regimen","n.","统治, 政府统治","","2026-01-04T11:01:19.670Z"
"regressive","adj.","退化的","","2026-01-04T11:01:19.670Z"
"rehabilitate","v.","恢复","","2026-01-04T11:01:19.670Z"
"rehash","v.","（没有实质改变地)重提","","2026-01-04T11:01:19.670Z"
"rein","n.","（马的）缰绳","","2026-01-04T11:01:19.670Z"
"reiterate","v.","重复强调","","2026-01-04T11:01:19.670Z"
"rejuvenate","adj.","使...重新有活力","","2026-01-04T11:01:19.670Z"
"relegate","v.","降低","","2026-01-04T11:01:19.670Z"
"reliable","adj.","（结论、模型等）可靠的","","2026-01-04T11:01:19.670Z"
"relinquish","v.","放弃","","2026-01-04T11:01:19.670Z"
"relish","v.","喜爱","","2026-01-04T11:01:19.670Z"
"reluctant","adj.","不情愿的","","2026-01-04T11:01:19.670Z"
"remedy","v.","补救, 完善","","2026-01-04T11:01:19.670Z"
"reminiscent","adj.","引起回忆的","","2026-01-04T11:01:19.670Z"
"remiss","adj.","粗心的，疏忽大意的","","2026-01-04T11:01:19.670Z"
"remonstrate","v.","反对, 抗议","","2026-01-04T11:01:19.670Z"
